trial_id,user_id,q0,q1,q2,q3,q4
1,1,-1,0,1,2,3
2,1,1,1,1,1,1
1,8,0,-1,-1,-1,0
2,8,0,-1,0,1,0
1,874,-3,-3,-3,-3,-3
1,444,1,2,2,2,2
1,666,-3,-3,-3,-3,-3
2,666,0,0,0,0,0
1,444,-1,-1,-1,-1,-1
2,444,0,0,0,0,0
1,547,-3,-3,-3,-3,-3
2,547,-1,-1,-1,-1,-1
3,547,0,0,0,0,0
4,547,-3,-3,-3,-3,-2
5,547,0,0,-1,0,0
6,547,0,0,0,0,0
1,65,-3,-3,-3,-3,-3
2,65,1,1,1,1,1
3,65,-3,-2,-3,-3,-2
4,65,-1,-1,-1,-1,-1
5,65,-3,-3,-3,-3,-3
6,65,3,2,2,2,3
7,65,-1,-2,-3,-2,-3
8,65,-1,0,-1,0,-1
1,999,-3,-2,-3,-3,1
2,999,1,-1,-1,-1,3
3,999,3,2,1,0,-1
4,999,0,0,0,0,0
5,999,3,2,1,0,-1
6,999,-1,-1,-1,-1,-1
7,999,0,0,1,1,1
8,999,-2,-3,-3,-3,-3
9,999,-1,0,1,1,2
10,999,2,0,0,-1,-1
11,999,-3,-2,-3,-3,-3
12,999,2,2,2,2,2
13,999,-2,-1,0,1,2
14,999,1,1,0,-1,-1
15,999,2,2,2,2,2
16,999,-2,-2,-2,-2,-2
17,999,2,1,0,-1,-2
18,999,0,-1,-2,-2,-3
19,999,-2,-2,-2,-2,-2
20,999,-1,-1,-1,-1,-1
21,999,1,0,-1,-2,-3
22,999,-2,-1,0,1,2
23,999,0,-1,0,0,1
24,999,-3,-3,-3,-3,-3
25,999,0,0,0,1,1
26,999,-2,-3,-3,-3,-3
27,999,1,0,-1,-2,-3
28,999,0,-1,-1,-1,-1
29,999,-3,-3,-3,-3,-3
30,999,0,-1,0,1,2
31,999,-3,-3,-3,-3,-3
32,999,-1,-1,-1,-1,-1
33,999,0,0,0,0,0
34,999,-1,0,0,0,0
35,999,0,0,0,0,0
36,999,0,0,0,0,0
